"IDStation";"NameStation";"Altitude";"Latitude";"Longitude"
"1264";"Sondrio Via Paribelli";290;46,1678524406651;9,8792099244699
"1265";"Lodi San Alberto";76;45,3027835030958;9,49527369692632
"1266";"Bertonico Via Moro";65;45,2334936413037;9,66625037529603
"1269";"Dalmine Via Verdi";207;45,6497025123625;9,60122333878526
"1274";"Perledo Pzza Della Stazione";212;46,0158283043838;9,28640920868081
"1297";"Spinadesco Via Battisti";48;45,1504688698568;9,93059647227233
"1374";"Monza Parco";181;45,6012321995514;9,27507265782848
"1800";"Brescia San Polo";124;45,5086667998462;10,2563702474338
"1801";"Brescia Via Tartaglia";151;45,5426478918228;10,2112052151183
"501";"Milano Via Marche";129;45,496316443651;9,19093355531362
"504";"Sesto San Giovanni Via Cesare Da Sesto";139;45,5347657650922;9,23610792341164
"514";"Rho Via Buon Gesu";152;45,5234256620035;9,04459987111101
"517";"Turbigo Vicolo Dello Sport";141;45,5265508699425;8,73649657837922
"528";"Milano Verziere";116;45,4633467406665;9,19532480766886
"529";"Cinisello Balsamo Via Lincoln";149;45,5523257874121;9,22776423327263
"531";"Pioltello Limito";114;45,4836303532325;9,32736003321514
"539";"Milano Via Liguria";115;45,4438576535649;9,16794450174268
"542";"Meda Via Gagarin";222;45,6617621918917;9,1566439845516
"544";"Cormano Via Edison";153;45,5510419443724;9,16261365315132
"545";"Motta Visconti Via De Gasperi";100;45,2819561974278;8,98856272679325
"546";"Magenta Via F Turati";137;45,4624157911066;8,88021043312557
"548";"Milano Via Senato";118;45,470499014097;9,19746036011253
"551";"Arconate Via De Gasperi";182;45,5485173574195;8,84732192921626
"552";"Varese Via Vidoletti";425;45,8369007765555;8,80392612667495
"554";"Saronno Via Santuario";212;45,6273570527389;9,02640137977097
"558";"Busto Arsizio Accam";206;45,5828942927177;8,84216545670608
"560";"Varese Via Copelli";383;45,8169732332637;8,82024070715821
"561";"Como Via Cattaneo";202;45,8150428601129;9,06697137484454
"564";"Erba Via Battisti";279;45,808573806923;9,22177920448843
"565";"Cantu Via Meucci";369;45,7308367226743;9,12573432702293
"569";"Sondrio Via Mazzini";307;46,1679668122783;9,87014407497457
"571";"Bormio Via Monte Braulio";1225;46,4695239713258;10,375432759159
"572";"Morbegno Via Cortivacci";262;46,1322829600037;9,56617989398447
"573";"Colico Via La Madoneta";229;46,1381409051264;9,38468724765179
"574";"Lecco Via Amendola";214;45,8501911945785;9,39557706689322
"576";"Merate Via Madonna Di Loreto";279;45,6979519897024;9,4061909386866
"583";"Bergamo Via Meucci";249;45,6910374054721;9,64365057946138
"584";"Bergamo Via Garibaldi";249;45,6956803443269;9,66124914606551
"588";"Tavernola Bergamasca Via Riva Di Sotto";191;45,7162999241173;10,0447659993684
"592";"Treviglio Pzza Insurrezione";191;45,5193349813872;9,59200999488842
"595";"Filago Via Don Milani";190;45,6338645090807;9,55608425579086
"596";"Osio Sotto Via Per Levate";182;45,6205556793956;9,61173782181237
"598";"San Rocco Al Porto Via Matteotti";50;45,0819866969786;9,70078817718398
"600";"Lodi Via Vignati";80;45,3060129875238;9,48526286320174
"602";"Melegnano Via Predabissi";83;45,35428575071;9,32924342411371
"603";"Castiraga Vidardo Via Craxi";74;45,2623251999215;9,40028132306792
"604";"Tavazzano Con Villavesco Via Cascina Bagnolo";85;45,3303610018123;9,41464472662726
"606";"San Giuliano Milanese Via Milano";97;45,3961946255272;9,28270007555784
"607";"Abbadia Cerreto Via Fanfulla";64;45,3095022692823;9,58579041612041
"608";"Codogno Via Trento";59;45,1593728023411;9,69814824935254
"609";"Casirate D'Adda Via Cimitero";108;45,4982271339449;9,55623226235176
"626";"Corte De Cortesi Con Cignone Via Villa Strada Forca";57;45,2784875547884;10,0062023912043
"627";"Cremona Pzza Cadorna";39;45,1319469128517;10,015741513336
"629";"Crema Via Xi Febbraio";79;45,3663090781943;9,70394551361317
"633";"Soresina Via Landriani";70;45,2839771544676;9,86339841999363
"642";"Pavia Via Folperti";77;45,1946760990779;9,16463830063009
"643";"Pavia Pzza Minerva";77;45,1863290804948;9,14666604128678
"649";"Brescia Via Broletto";149;45,5400578469714;10,2228184492742
"652";"Brescia Via Turati";154;45,539529434956;10,2317859074772
"654";"Sarezzo Via Minelli";269;45,6496267122407;10,205090218837
"655";"Darfo Boario Terme Via De Amicis";221;45,8746021098904;10,1773568089814
"656";"Gambara Via Parma";47;45,2495436247462;10,2991194960641
"657";"Lonato Del Garda Via Del Marchesino";180;45,4637531362103;10,4807720435713
"659";"Odolo Via Praes";349;45,6460496337252;10,389295302792
"661";"Rezzato Via De Gasperi";147;45,5157082948446;10,3362404229965
"663";"Mantova Via Ariosto";18;45,145260125789;10,8033259500793
"664";"Mantova Pzza Gramsci";18;45,1517433795766;10,7814077000957
"665";"Viadana Via Cavalli";37;44,9246940495507;10,5175020671178
"669";"Brescia Villaggio Sereno";70;45,5130388186538;10,1919418887793
"670";"Mantova San Agnese";22;45,1605683301058;10,7955641137079
"672";"Cornale Via Liberta";74;45,0400765720296;8,91414459900241
"673";"Voghera Via Pozzoni";90;44,9995459891403;9,00843738181569
"674";"Monza Via Machiavelli";162;45,5802634844224;9,27357309271327
"677";"Cremona Via Fatebenefratelli";43;45,1425406322169;10,0438361583694
"679";"Valmadrera Via Pozzi";247;45,8422072610225;9,35165816612796
"681";"Moggio Loc Penscei";1194;45,9127875203029;9,49753816765342
"682";"Ferrera Erbognone Eni";88;45,1135031448296;8,87406484888261
"683";"Cassano D'Adda Via Milano";133;45,526472545851;9,5159804836271
"685";"Calusco D'Adda Via Caduti Sul Lavoro";273;45,6904290785451;9,48426092764779
"687";"Ferno Via Di Dio";215;45,6192437799476;8,75697044545343
"690";"Mezzana Bigli Loc Casoni";73;45,0696586413859;8,86888929943922
"693";"Sannazzaro De Burgondi Via Traversi";85;45,1027662768414;8,90417452771467
"694";"Salionze Via Campagna Rossa";109;45,4033137582129;10,7265979707794
"695";"Ponti Sul Mincio Via San Martino";113;45,4127716916863;10,6833573437868
"696";"Monzambano Campo Sportivo";88;45,3891535402378;10,6905762650721
"697";"Borgofranco Sul Po Loc Bonizzo";14;45,0465015381673;11,1809358191275
"698";"Ceneselli Via Moro";13;45,0132567684933;11,3723449480582
"699";"Magnacavallo Campo Sportivo";11;45,0051415213483;11,1783880872139
"700";"Melara Via Dellartigianato";12;45,0632143616133;11,2092107496994
"702";"Pieve Di Coriano Via Bugatte";16;45,0339428141846;11,1169181095401
"703";"Schivenoglia Via Malpasso";NA;45,0168778207554;11,0760946326405
"705";"Milano Pascal Citta Studi";122;45,4789960616874;9,2354910384975
"706";"Lecco Via Sora";272;45,8637488412797;9,39995034468185
"707";"Mortara Via Trento";108;45,2547287207888;8,74415437971093
"708";"Parona Via Della Miseria";112;45,2819356103579;8,75433459453983
"709";"Vigevano Via Valletta";109;45,3036078696557;8,84480460996544
"STA.IT0187A";"Ferrara_T0187A";8;44,8425;11,61306
"STA.IT0499A";"Laces/Latsch_T0499A";640;46,61947;10,85906
"STA.IT0544A";"Lugagnano Val d'Arda_T0544A";210;44,82389;9,83028
"STA.IT0591A";"Rovereto_T0591A";200;45,89244;11,03941
"STA.IT0643A";"Alessandria_T0643A";95;44,9066;8,612
"STA.IT0721A";"Modena_T0721A";39;44,63605;10,90473
"STA.IT0753A";"Riva del Garda_T0753A";73;45,89147;10,84449
"STA.IT0804A";"Parma_T0804A";60;44,79361;10,33167
"STA.IT0940A";"Reggio nell'Emilia_T0940A";50;44,690833;10,664722
"STA.IT1026A";"Busalla_T1026A";380;44,572778;8,946389
"STA.IT1105A";"Parma_T1105A";55;44,78833;10,33667
"STA.IT1152A";"Carpi_T1152A";25;44,79943;10,88365
"STA.IT1191A";"Vallelaghi_T1191A";1601;46,08253;10,95804
"STA.IT1336A";"Verona_T1336A";62;45,44528;10,96389
"STA.IT1509A";"Cerano_T1509A";124;45,4097;8,7861
"STA.IT1510A";"Verbania_T1510A";203;45,9303;8,5655
"STA.IT1518A";"Novara_T1518A";154;45,4383;8,6206
"STA.IT1532A";"Borgosesia_T1532A";344;45,7132;8,2835
"STA.IT1533A";"Vercelli_T1533A";130;45,3284;8,4151
"STA.IT1535A";"Legnago_T1535A";25;45,183611;11,311389
"STA.IT1582A";"Casale Monferrato_T1582A";116;45,1361;8,4452
"STA.IT1676A";"Novara_T1676A";157;45,4403;8,6197
"STA.IT1751A";"Busalla_T1751A";400;44,57402;8,95104
"STA.IT1771A";"Modena_T1771A";34;44,65061;10,90633
"STA.IT1830A";"Alessandria_T1830A";91;44,9203;8,6232
"STA.IT1878A";"Vercelli_T1878A";131;45,3189;8,4024
"STA.IT1904A";"Dernice_T1904A";620;44,7633;9,0524
"STA.IT1910A";"Colorno_T1910A";30;44,926111;10,370833
"STA.IT1914A";"Guastalla_T1914A";22;44,873056;10,663889
"STA.IT1917A";"Cento_T1917A";16;44,738333;11,299722
"STA.IT1918A";"Ferrara_T1918A";9;44,825;11,649722
"STA.IT1921A";"Mirandola_T1921A";4;44,92784;11,17795
"STA.IT1923A";"Piacenza_T1923A";61;45,04889;9,69333
"STA.IT1924A";"Besenzone_T1924A";48;44,989444;10,019167
"STA.IT1975A";"Piacenza_T1975A";61;45,038333;9,669167
"STA.IT2072A";"Badia Polesine_T2072A";6;45,103889;11,553333
"STA.IT2074A";"Corte Brugnatella_T2074A";765;44,73473;9,36693
"STA.IT2102A";"Omegna_T2102A";259;45,8988;8,4157
"STA.IT2121A";"Borgomanero_T2121A";301;45,6894;8,4584
"STA.IT2156A";"Reggio nell'Emilia_T2156A";59;44,700278;10,622778
"STA.IT2243A";"Verona_T2243A";48;45,43301;11,030096
"STA.IT2282A";"Novara_T2282A";154;45,4397;8,6204
"STA-CH0011A";"Ticino_STA-CH0011A";280;46,0110999994635;8,9571
"STA-CH0033A";"Ticino_STA-CH0033A";203;46,1602999994636;8,93394
"STA-CH0043A";"Ticino_STA-CH0043A";305;46,0258999994636;8,96752
